,name,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Total_Capacity,weights,fuel_type,nearest_node,Weight
145,PP_10181_GEN2,hydro,28601,n_28601,CPLE,0.8,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.002178649237472767,hydro,n_28601,0.002178649237472767
146,PP_10181_GEN3,hydro,28601,n_28601,CPLE,0.8,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.002178649237472767,hydro,n_28601,0.002178649237472767
147,PP_10258_1,hydro,1851,n_1851,DUK,1.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.00019654088050314466,hydro,n_1851,0.00019654088050314466
148,PP_10258_2,hydro,1851,n_1851,DUK,0.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,9.827044025157233e-05,hydro,n_1851,9.827044025157233e-05
149,PP_10550_GEN1,hydro,4517,n_4517,DUK,1.8,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0003537735849056604,hydro,n_4517,0.0003537735849056604
150,PP_10787_GEN1,hydro,14003,n_14003,DUK,1.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.00019654088050314466,hydro,n_14003,0.00019654088050314466
151,PP_10799_GEN1,hydro,10239,n_10239,DUK,2.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.00039308176100628933,hydro,n_10239,0.00039308176100628933
152,PP_10800_GEN1,hydro,10239,n_10239,DUK,3.3,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0006485849056603773,hydro,n_10239,0.0006485849056603773
153,PP_10801_GEN1,hydro,28842,n_28842,DUK,3.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0005896226415094339,hydro,n_28842,0.0005896226415094339
154,PP_10801_GEN2,hydro,28842,n_28842,DUK,3.2,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.000628930817610063,hydro,n_28842,0.000628930817610063
155,PP_2707_1,hydro,30525,n_30525,CPLE,3.2,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.008714596949891068,hydro,n_30525,0.008714596949891068
156,PP_2707_2,hydro,30525,n_30525,CPLE,3.2,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.008714596949891068,hydro,n_30525,0.008714596949891068
157,PP_2707_3,hydro,30525,n_30525,CPLE,3.2,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.008714596949891068,hydro,n_30525,0.008714596949891068
158,PP_2707_4,hydro,30525,n_30525,CPLE,5.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.013616557734204794,hydro,n_30525,0.013616557734204794
159,PP_2707_5,hydro,30525,n_30525,CPLE,5.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.013616557734204794,hydro,n_30525,0.013616557734204794
160,PP_2707_6,hydro,30525,n_30525,CPLE,5.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.013616557734204794,hydro,n_30525,0.013616557734204794
161,PP_2707_GT1,oil,30525,n_30525,CPLE,17.5,17.5,32.0,6.65,2.0,26.0095931,1225,17.5,1,1,533.7,0.03278995690462806,oil,n_30525,0.03278995690462806
162,PP_2707_GT2,oil,30525,n_30525,CPLE,17.5,17.5,48.0,6.65,2.0,39.01438965,1225,17.5,1,1,533.7,0.03278995690462806,oil,n_30525,0.03278995690462806
163,PP_2707_GT3,oil,30525,n_30525,CPLE,17.5,17.5,45.0,6.65,2.0,36.5759903,1225,17.5,1,1,533.7,0.03278995690462806,oil,n_30525,0.03278995690462806
164,PP_2707_GT4,oil,30525,n_30525,CPLE,17.5,17.5,39.0,6.65,2.0,31.69919159,1225,17.5,1,1,533.7,0.03278995690462806,oil,n_30525,0.03278995690462806
165,PP_2710_HC1,hydro,28601,n_28601,CPLE,2.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.006808278867102397,hydro,n_28601,0.006808278867102397
166,PP_2710_HC2,hydro,28601,n_28601,CPLE,2.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.006808278867102397,hydro,n_28601,0.006808278867102397
167,PP_2714_1,hydro,15691,n_15691,CPLE,22.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.05991285403050109,hydro,n_15691,0.05991285403050109
168,PP_2714_2,hydro,15691,n_15691,CPLE,18.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.049019607843137254,hydro,n_15691,0.049019607843137254
169,PP_2714_3,hydro,15691,n_15691,CPLE,22.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.05991285403050109,hydro,n_15691,0.05991285403050109
170,PP_2714_4,hydro,15691,n_15691,CPLE,22.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,367.2,0.05991285403050109,hydro,n_15691,0.05991285403050109
171,PP_2715_1,hydro,6024,n_6024,CPLW,36.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,108.8,0.33088235294117646,hydro,n_6024,0.33088235294117646
172,PP_2715_2,hydro,6024,n_6024,CPLW,36.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,108.8,0.33088235294117646,hydro,n_6024,0.33088235294117646
173,PP_2715_3,hydro,6024,n_6024,CPLW,36.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,108.8,0.33088235294117646,hydro,n_6024,0.33088235294117646
174,PP_2719_1,hydro,16289,n_16289,DUK,13.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0025550314465408804,hydro,n_16289,0.0025550314465408804
175,PP_2719_2,hydro,16289,n_16289,DUK,13.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0025550314465408804,hydro,n_16289,0.0025550314465408804
176,PP_2719_3,hydro,16289,n_16289,DUK,1.7,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0003341194968553459,hydro,n_16289,0.0003341194968553459
177,PP_2722_1,hydro,6646,n_6646,DUK,87.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.017197327044025157,hydro,n_6646,0.017197327044025157
178,PP_2722_2,hydro,6646,n_6646,DUK,87.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.017197327044025157,hydro,n_6646,0.017197327044025157
179,PP_2722_3,hydro,6646,n_6646,DUK,87.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.017197327044025157,hydro,n_6646,0.017197327044025157
180,PP_2722_4,hydro,6646,n_6646,DUK,87.5,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.017197327044025157,hydro,n_6646,0.017197327044025157
181,PP_2726_1,hydro,29021,n_29021,DUK,8.6,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0016902515723270439,hydro,n_29021,0.0016902515723270439
182,PP_2726_2,hydro,29021,n_29021,DUK,8.6,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0016902515723270439,hydro,n_29021,0.0016902515723270439
183,PP_2726_3,hydro,29021,n_29021,DUK,8.6,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.0016902515723270439,hydro,n_29021,0.0016902515723270439
184,PP_2728_1,hydro,30415,n_30415,DUK,15.0,10000.0,0.0,0.0,0.0,0.0,0,0.0,0,0,5088.0,0.00294811320754717,hydro,n_30415,0.00294811320754717
