name,Plan_ID,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,weights,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_7834_CT3A,PP_7834,ngct,8337,n_8337,DUK,84,0.002426827,84,8.259202161,31.92,3.17,102.3176393,5880,84,1,1
PP_7834_CT3B,PP_7834,ngct,8337,n_8337,DUK,84,0.002426827,84,8.259202161,31.92,3.17,102.3176393,5880,84,1,1
PP_7834_CT4A,PP_7834,ngct,8337,n_8337,DUK,84,0.002426827,84,8.259202161,31.92,3.17,102.3176393,5880,84,1,1
PP_7834_ST1S,PP_7834,ngcc,8337,n_8337,DUK,190,0.005489251,190,8.259202161,72.2,3.17,223.1457653,13300,190,6,6
PP_7981_1,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,12.01938938,37.962,3.17,177.0846926,6993,99.9,1,1
PP_7981_2,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,15.38481366,37.962,3.17,226.6683366,6993,99.9,1,1
PP_7981_3,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,12.22088881,37.962,3.17,180.0534345,6993,99.9,1,1
PP_7981_4,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,17.30628746,37.962,3.17,254.9778943,6993,99.9,1,1
PP_7981_5,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,10.35627197,37.962,3.17,152.5815647,6993,99.9,1,1
PP_7981_6,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,15.36601002,37.962,3.17,226.3912979,6993,99.9,1,1
PP_7981_7,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,11.10848832,37.962,3.17,163.6641578,6993,99.9,1,1
PP_7981_8,PP_7981,ngct,4477,n_4477,DUK,99.9,0.00288619,99.9,10.69010606,37.962,3.17,157.5000265,6993,99.9,1,1
PP_10051_GEN1,PP_10051,hydro,30069,n_30069,CPLE,0.6,3.44782E-05,10000,0,0,0,0,0,0,0,0
PP_10051_GEN2,PP_10051,hydro,30069,n_30069,CPLE,0.6,3.44782E-05,10000,0,0,0,0,0,0,0,0
PP_10173_T-1,PP_10173,hydro,4521,n_4521,DUK,4.3,0.00012423,10000,0,0,0,0,0,0,0,0
PP_10181_GEN2,PP_10181,hydro,28601,n_28601,CPLE,0.8,4.59709E-05,10000,0,0,0,0,0,0,0,0
PP_10181_GEN3,PP_10181,hydro,28601,n_28601,CPLE,0.8,4.59709E-05,10000,0,0,0,0,0,0,0,0
PP_10258_1,PP_10258,hydro,1851,n_1851,DUK,1,2.88908E-05,10000,0,0,0,0,0,0,0,0
PP_10258_2,PP_10258,hydro,1851,n_1851,DUK,0.5,1.44454E-05,10000,0,0,0,0,0,0,0,0
PP_10550_GEN1,PP_10550,hydro,4517,n_4517,DUK,1.8,5.20034E-05,10000,0,0,0,0,0,0,0,0
PP_10787_GEN1,PP_10787,hydro,14003,n_14003,DUK,1,2.88908E-05,10000,0,0,0,0,0,0,0,0
PP_10799_GEN1,PP_10799,hydro,10239,n_10239,DUK,2,5.77816E-05,10000,0,0,0,0,0,0,0,0
PP_10800_GEN1,PP_10800,hydro,10239,n_10239,DUK,3.3,9.53396E-05,10000,0,0,0,0,0,0,0,0
PP_10801_GEN1,PP_10801,hydro,28842,n_28842,DUK,3,8.66724E-05,10000,0,0,0,0,0,0,0,0
PP_10801_GEN2,PP_10801,hydro,28842,n_28842,DUK,3.2,9.24505E-05,10000,0,0,0,0,0,0,0,0
PP_2707_1,PP_2707,hydro,30525,n_30525,CPLE,3.2,0.000183884,10000,0,0,0,0,0,0,0,0
PP_2707_2,PP_2707,hydro,30525,n_30525,CPLE,3.2,0.000183884,10000,0,0,0,0,0,0,0,0
PP_2707_3,PP_2707,hydro,30525,n_30525,CPLE,3.2,0.000183884,10000,0,0,0,0,0,0,0,0
PP_2707_4,PP_2707,hydro,30525,n_30525,CPLE,5,0.000287318,10000,0,0,0,0,0,0,0,0
PP_2707_5,PP_2707,hydro,30525,n_30525,CPLE,5,0.000287318,10000,0,0,0,0,0,0,0,0
PP_2707_6,PP_2707,hydro,30525,n_30525,CPLE,5,0.000287318,10000,0,0,0,0,0,0,0,0
PP_2707_GT1,PP_2707,oil,30525,n_30525,CPLE,17.5,0.001005614,17.5,32,6.65,2,26.0095931,1225,17.5,1,1
PP_2707_GT2,PP_2707,oil,30525,n_30525,CPLE,17.5,0.001005614,17.5,48,6.65,2,39.01438965,1225,17.5,1,1
PP_2707_GT3,PP_2707,oil,30525,n_30525,CPLE,17.5,0.001005614,17.5,45,6.65,2,36.5759903,1225,17.5,1,1
PP_2707_GT4,PP_2707,oil,30525,n_30525,CPLE,17.5,0.001005614,17.5,39,6.65,2,31.69919159,1225,17.5,1,1
PP_2710_HC1,PP_2710,hydro,28601,n_28601,CPLE,2.5,0.000143659,10000,0,0,0,0,0,0,0,0
