,name,typ,node,M2S_node,maxcap,Gen_MWh,Weights,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Long,Lat,geometry,index_right,NAME
306,PP_54895_YF3,hydro,15692,n_15692,10000.0,11.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
310,PP_54897_TT1,hydro,15692,n_15692,10000.0,14.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
311,PP_54897_TT2,hydro,15692,n_15692,10000.0,14.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
312,PP_54897_TT3,hydro,15692,n_15692,10000.0,14.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
321,PP_58390_EMOD,hydro,29973,n_29973,10000.0,2.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.04736413,35.59422791,POINT (-79.04736413000001 35.59422791),0,DUKE ENERGY PROGRESS EAST
322,PP_58390_WMOD,hydro,29973,n_29973,10000.0,2.2,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.04736413,35.59422791,POINT (-79.04736413000001 35.59422791),0,DUKE ENERGY PROGRESS EAST
338,PP_3251_2,nuc,6705,n_6705,10000.0,768.6,,0.0,0.0,0.0,0.0,0,0.0,0,0,-80.15757994,34.40162138,POINT (-80.15757994000001 34.40162138),0,DUKE ENERGY PROGRESS EAST
342,PP_6014_1,nuc,18689,n_18689,10000.0,1001.6,,0.0,0.0,0.0,0.0,0,0.0,0,0,-78.0118723,33.96080121,POINT (-78.01187229999999 33.96080121),0,DUKE ENERGY PROGRESS EAST
343,PP_6014_2,nuc,18689,n_18689,10000.0,1001.6,,0.0,0.0,0.0,0.0,0,0.0,0,0,-78.0118723,33.96080121,POINT (-78.01187229999999 33.96080121),0,DUKE ENERGY PROGRESS EAST
344,PP_6015_1,nuc,319,n_319,10000.0,950.9,,0.0,0.0,0.0,0.0,0,0.0,0,0,-78.95188606,35.6322294,POINT (-78.95188606000001 35.6322294),0,DUKE ENERGY PROGRESS EAST
358,oil_15692,oil,15692,n_15692,5.4,5.4,,16.882,2.052,2.0,4.234120239,378,5.4,1,1,-80.12208811,35.402745,POINT (-80.12208811000001 35.402745),0,DUKE ENERGY PROGRESS EAST
