,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
300,PP_54894_YN1,hydro,n_15692,DUK,24.7,0.004714820187829274
301,PP_54894_YN2,hydro,n_15692,DUK,24.7,0.004714820187829274
302,PP_54894_YN3,hydro,n_15692,DUK,29.0,0.005535618844010079
303,PP_54894_YN4,hydro,n_15692,DUK,30.4,0.005802855615789875
304,PP_54895_YF1,hydro,n_15692,DUK,9.0,0.0017179506757272658
305,PP_54895_YF2,hydro,n_15692,DUK,11.2,0.002137894174238375
306,PP_54895_YF3,hydro,n_15692,DUK,11.2,0.002137894174238375
307,PP_54896_HR1,hydro,n_15641,DUK,11.0,0.002099717492555547
308,PP_54896_HR2,hydro,n_15641,DUK,11.0,0.002099717492555547
309,PP_54896_HR3,hydro,n_15641,DUK,11.0,0.002099717492555547
310,PP_54897_TT1,hydro,n_15692,DUK,14.0,0.0026723677177979688
311,PP_54897_TT2,hydro,n_15692,DUK,14.0,0.0026723677177979688
312,PP_54897_TT3,hydro,n_15692,DUK,14.0,0.0026723677177979688
313,PP_54898_1,hydro,n_7798,DUK,22.5,0.004294876689318165
314,PP_54898_2,hydro,n_7798,DUK,22.5,0.004294876689318165
315,PP_54899_1A,hydro,n_7798,DUK,27.5,0.005249293731388867
316,PP_54899_2A,hydro,n_7798,DUK,27.5,0.005249293731388867
317,PP_54899_3A,hydro,n_7798,DUK,27.5,0.005249293731388867
318,PP_54899_4A,hydro,n_7798,DUK,27.5,0.005249293731388867
319,PP_54899_5,hydro,n_7798,DUK,30.0,0.005726502252424219
320,PP_58257_UP1,hydro,n_4478,DUK,1.1,0.00020997174925555472
321,PP_58390_EMOD,hydro,n_29973,DUK,2.2,0.00041994349851110944
322,PP_58390_WMOD,hydro,n_29973,DUK,2.2,0.00041994349851110944
323,PP_6126_1,hydro,n_29011,DUK,73.4,0.014010842177597923
324,PP_6126_2,hydro,n_29011,DUK,73.4,0.014010842177597923
325,PP_6126_3,hydro,n_29011,DUK,73.4,0.014010842177597923
326,PP_6126_4,hydro,n_29011,DUK,73.4,0.014010842177597923
327,PP_6126_5,hydro,n_29011,DUK,73.4,0.014010842177597923
328,PP_6126_6,hydro,n_29011,DUK,73.4,0.014010842177597923
329,PP_6126_7,hydro,n_29011,DUK,73.4,0.014010842177597923
330,PP_6126_8,hydro,n_29011,DUK,73.4,0.014010842177597923
331,PP_6438_1,hydro,n_13721,DUK,1.4,0.0002672367717797969
332,PP_6517_1,hydro,n_29228,DUK,78.8,0.015041612583034282
333,PP_6517_2,hydro,n_29228,DUK,78.8,0.015041612583034282
334,PP_7125_1,hydro,n_7797,DUK,420.0,0.08017103153393906
335,PP_7125_2,hydro,n_7797,DUK,420.0,0.08017103153393906
336,PP_7125_3,hydro,n_7797,DUK,324.0,0.061846224326181566
337,PP_7125_4,hydro,n_7797,DUK,324.0,0.061846224326181566
338,PP_3251_2,nuc,n_6705,CPLE,768.6,0.20646305101136272
339,PP_3265_1,nuc,n_29228,DUK,886.7,0.10374278995214752
340,PP_3265_2,nuc,n_29228,DUK,886.7,0.10374278995214752
341,PP_3265_3,nuc,n_29228,DUK,893.3,0.1045149816896959
342,PP_6014_1,nuc,n_18689,CPLE,1001.6,0.2690520321272195
343,PP_6014_2,nuc,n_18689,CPLE,1001.6,0.2690520321272195
344,PP_6015_1,nuc,n_319,CPLE,950.9,0.2554328847341983
345,PP_6036_1,nuc,n_28505,DUK,1205.1,0.14099519135145253
346,PP_6036_2,nuc,n_28505,DUK,1205.1,0.14099519135145253
347,PP_6038_1,nuc,n_6652,DUK,1220.3,0.14277357232277613
348,PP_6038_2,nuc,n_6652,DUK,1220.3,0.14277357232277613
349,PP_6127_1,nuc,n_29011,DUK,1029.6,0.12046191105755166
350,oil_10017,oil,n_10017,DUK,4.0,0.02973977695167286
351,oil_13843,oil,n_13843,DUK,1.8,0.013382899628252789
352,oil_14301,oil,n_14301,DUK,1.3,0.009665427509293681
353,oil_14508,oil,n_14508,DUK,1.3,0.009665427509293681
354,oil_14783,oil,n_14783,DUK,1.8,0.013382899628252789
