,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,Balancing Authority Code,index_right,BA_ID,nearest_node,distance_to_nearest_node
6614,PP_60784,5.0,SOLAR,-79.037483,34.564307,POINT (-79.037483 34.564307),yellow,DUK,215,CPLE,n_9851,0.002954355984317565
6615,PP_60290,5.0,SOLAR,-77.8861,35.36118,POINT (-77.8861 35.36118),yellow,DUK,220,CPLE,n_23600,0.13824322475735165
6616,PP_58390,4.4,HYDRO,-79.068333,35.654722,POINT (-79.068333 35.654722),royalblue,DUK,637,Overlapping,n_29973,0.0640252171726457
6617,PP_65553,5.0,SOLAR,-79.720544,35.308176,POINT (-79.720544 35.308176),yellow,CPLE,676,CPLE,n_14626,0.08476245269613118
6618,PP_60180,5.0,SOLAR,-78.802384,35.513769,POINT (-78.802384 35.513769),yellow,DUK,641,CPLE,n_6895,0.055612051579219605
6619,PP_59565,5.0,SOLAR,-78.399983,35.426667,POINT (-78.399983 35.426667),yellow,CPLE,414,CPLE,n_6906,0.079224701860078
6622,PP_61219,5.0,SOLAR,-78.449024,36.391194,POINT (-78.449024 36.391194),yellow,CPLE,249,CPLE,n_18866,0.0793555266879631
6623,PP_59051,2.0,SOLAR,-78.04,34.96,POINT (-78.04 34.96),yellow,DUK,672,CPLE,n_9870,0.07077312342623181
6624,PP_58803,2.0,SOLAR,-77.981667,34.957778,POINT (-77.981667 34.957778),yellow,DUK,670,CPLE,n_9871,0.07253618602347961
6625,PP_58840,4.5,SOLAR,-77.976111,34.97,POINT (-77.976111 34.97),yellow,DUK,670,CPLE,n_9871,0.08529062259822578
6626,PP_65554,5.0,SOLAR,-79.555024,35.850341,POINT (-79.555024 35.850341),yellow,CPLE,909,Overlapping,n_28211,0.07270275387171425
6627,PP_60397,4.9,SOLAR,-78.092185,35.012282,POINT (-78.092185 35.012282),yellow,DUK,672,CPLE,n_9870,0.0036424445369841263
6628,PP_59507,3.0,SOLAR,-78.1526,36.4338,POINT (-78.1526 36.4338),yellow,CPLE,633,CPLE,n_16911,0.06741121360219239
6629,PP_59325,543.9,GAS,-81.363056,35.2025,POINT (-81.363056 35.2025),red,DUK,268,DUK,n_29803,0.06393271718153276
6630,PP_59125,2.0,SOLAR,-77.608333,35.370556,POINT (-77.608333 35.370556),yellow,CPLE,567,CPLE,n_9873,0.15640958711739622
6631,PP_61090,5.0,SOLAR,-77.64259,35.2184,POINT (-77.64259 35.2184),yellow,CPLE,566,CPLE,n_23782,0.019936055189689293
6632,PP_59832,5.0,SOLAR,-77.472283,35.351436,POINT (-77.472283 35.351436),yellow,CPLE,106,CPLE,n_6679,0.03239713345018429
6633,PP_58791,5.0,SOLAR,-78.1375,34.988889,POINT (-78.1375 34.988889),yellow,DUK,672,CPLE,n_23789,0.021833152521597392
6634,PP_60578,5.0,SOLAR,-78.102178,35.79915,POINT (-78.102178 35.79915),yellow,CPLE,760,CPLE,n_6890,0.11094730986126768
6635,PP_2713,851.0,GAS,-77.985278,34.283056,POINT (-77.985278 34.283056),red,CPLE,103,CPLE,n_28666,0.0011558600500087815
6636,PP_60105,2.0,SOLAR,-81.564248,35.232396,POINT (-81.564248 35.232396),yellow,DUK,268,DUK,n_4496,0.0324066590250697
