,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2,Total_Capacity,Weight
574,PP_59500,5.0,SOLAR,-78.146944,36.139444,POINT (-78.146944 36.139444),yellow,CPLE,773,CPLE,n_9858,n_9858,No,CPLE,0.145320242,0.145320242,2632.4,0.0018994073848959123
575,PP_56915,2.0,SOLAR,-78.7503,35.8136,POINT (-78.7503 35.8136),yellow,CPLE,186,Overlapping,n_324,n_324,No,CPLE,0.042906516,0.042906516,2632.4,0.000759762953958365
576,PP_60921,2.0,SOLAR,-77.795061,35.287803,POINT (-77.795061 35.287803),yellow,CPLE,107,CPLE,n_9873,n_9873,No,CPLE,0.107384078,0.107384078,2632.4,0.000759762953958365
577,PP_63345,4.5,SOLAR,-77.908113,34.53827,POINT (-77.908113 34.53827),yellow,CPLE,176,CPLE,n_9441,n_9441,No,CPLE,0.100441824,0.100441824,2632.4,0.0017094666464063212
578,PP_65556,4.5,SOLAR,-79.787634,35.532427,POINT (-79.787634 35.532427),yellow,CPLE,781,Overlapping,n_14626,n_14626,No,CPLE,0.165132891,0.165132891,2632.4,0.0017094666464063212
579,PP_59592,5.0,SOLAR,-79.321667,35.243889,POINT (-79.321667 35.243889),yellow,CPLE,604,CPLE,n_10012,n_10012,No,CPLE,0.114708549,0.114708549,2632.4,0.0018994073848959123
580,PP_58669,5.0,SOLAR,-78.183333,35.576389,POINT (-78.183333 35.576389),yellow,DUK,378,CPLE,n_340,n_340,No,DUK,0.123993858,0.123993858,2361.4,0.0021173879901753194
581,PP_58956,4.8,SOLAR,-79.195833,34.943889,POINT (-79.195833 34.943889),yellow,CPLE,325,CPLE,n_9887,n_9887,No,CPLE,0.030145475,0.030145475,2632.4,0.001823431089500076
582,PP_58323,5.0,SOLAR,-79.128889,34.8475,POINT (-79.128889 34.8475),yellow,CPLE,214,CPLE,n_15226,n_15226,No,CPLE,0.0236746,0.0236746,2632.4,0.0018994073848959123
583,PP_60101,2.0,SOLAR,-81.588436,35.309229,POINT (-81.588436 35.309229),yellow,DUK,268,DUK,n_4496,n_4496,No,DUK,0.067878421,0.067878421,2361.4,0.0008469551960701278
584,PP_57200,1.0,SOLAR,-81.5956,35.2536,POINT (-81.5956 35.2536),yellow,DUK,268,DUK,n_4496,n_4496,No,DUK,0.051639625,0.051639625,2361.4,0.0004234775980350639
585,PP_54363,4.2,OIL,-81.6292,35.3264,POINT (-81.6292 35.3264),darkviolet,DUK,268,DUK,n_4496,n_4496,No,DUK,0.109280055,0.109280055,140.0,0.030000000000000002
586,PP_56063,1.8,OIL,-81.5225,35.3036,POINT (-81.5225 35.3036),darkviolet,DUK,268,DUK,n_4496,n_4496,No,DUK,0.050648557,0.050648557,140.0,0.012857142857142857
