Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2
PP_2729,36,HYDRO,-81.1922,35.8214,POINT (-81.1922 35.8214),royalblue,DUK,35,DUK,n_15622,n_15622,No,DUK,0.149779204,0.149779204
PP_62018,1.6,SOLAR,-78.639456,35.533191,POINT (-78.639456 35.533191),yellow,CPLE,379,CPLE,n_7618,n_7618,No,CPLE,0.00437644,0.00437644
PP_58799,5,SOLAR,-76.87,35.501111,POINT (-76.87 35.501111),yellow,CPLE,572,CPLE,n_9862,n_9862,No,CPLE,0.155541473,0.155541473
PP_62089,1,SOLAR,-79.090206,34.436698,POINT (-79.090206 34.436698),yellow,CPLE,840,CPLE,n_9851,n_9851,No,CPLE,0.13950583,0.13950583
PP_62128,2,SOLAR,-78.912997,34.909631,POINT (-78.912997 34.909631),yellow,CPLE,532,CPLE,n_9822,n_9822,No,CPLE,0.046034424,0.046034424
PP_62129,2,SOLAR,-78.912481,34.908589,POINT (-78.912481 34.908589),yellow,CPLE,532,CPLE,n_9822,n_9822,No,CPLE,0.046705391,0.046705391
PP_62120,2,SOLAR,-79.0847,34.4384,POINT (-79.0847 34.4384),yellow,CPLE,840,CPLE,n_9851,n_9851,No,CPLE,0.135818664,0.135818664
PP_62121,2,SOLAR,-79.090672,34.631814,POINT (-79.090672 34.631814),yellow,CPLE,878,CPLE,n_9850,n_9850,No,CPLE,0.039815791,0.039815791
PP_62122,2,SOLAR,-78.52434,34.519408,POINT (-78.52434 34.519408),yellow,CPLE,264,CPLE,n_28719,n_28719,No,CPLE,0.237337488,0.237337488
PP_62123,1,SOLAR,-78.810478,35.047153,POINT (-78.810478 35.047153),yellow,CPLE,306,CPLE,n_7619,n_7619,No,CPLE,0.054572901,0.054572901
PP_62124,1,SOLAR,-78.7874,34.353586,POINT (-78.7874 34.353586),yellow,CPLE,259,CPLE,n_9821,n_9821,No,CPLE,0.057850004,0.057850004
PP_62125,1.5,SOLAR,-78.205464,35.121181,POINT (-78.205464 35.121181),yellow,CPLE,852,CPLE,n_9874,n_9874,No,CPLE,0.097404916,0.097404916
PP_62126,2,SOLAR,-79.705958,35.420931,POINT (-79.705958 35.420931),yellow,CPLE,591,CPLE,n_14626,n_14626,No,CPLE,0.092299403,0.092299403
PP_62127,2,SOLAR,-78.9136,34.910856,POINT (-78.9136 34.910856),yellow,CPLE,532,CPLE,n_9822,n_9822,No,CPLE,0.045269268,0.045269268
PP_58856,5,SOLAR,-79.199444,34.816667,POINT (-79.199444 34.816667),yellow,CPLE,210,CPLE,n_15226,n_15226,No,CPLE,0.086525743,0.086525743
PP_58305,1,SOLAR,-78.9675,36.3125,POINT (-78.9675 36.3125),yellow,CPLE,353,CPLE,n_7557,n_7557,No,CPLE,0.092592156,0.092592156
PP_50509,54,OTHF,-76.779864,35.376266,POINT (-76.779864 35.376266),tan,CPLE,573,CPLE,n_9862,n_9862,No,CPLE,0.003402213,0.003402213
PP_58538,2.5,SOLAR,-78.986111,36.288056,POINT (-78.986111 36.288056),yellow,DUK,353,CPLE,n_7557,n_7557,No,DUK,0.099049459,0.099049459
PP_65555,5,SOLAR,-78.653997,36.271819,POINT (-78.653997 36.271819),yellow,CPLE,5,Overlapping,n_10707,n_10707,No,CPLE,0.046222485,0.046222485
PP_62659,5,SOLAR,-77.185206,35.067661,POINT (-77.185206 35.067661),yellow,CPLE,271,CPLE,n_23599,n_23599,No,CPLE,0.016802307,0.016802307
PP_59157,5,SOLAR,-79.829444,34.909167,POINT (-79.829444 34.909167),yellow,CPLE,621,CPLE,n_29018,n_29018,No,CPLE,0.039018592,0.039018592
